,sample_id,lDDT-BS_0,lDDT-BS_1,lDDT-BS_2,lDDT-BS_3,lDDT-BS_4,lDDT-BS_5,lDDT-BS_6,lDDT-BS_7,lDDT-BS_8,lDDT-BS_9,lDDT-BS_10,lDDT-BS_11,lDDT-BS_12,lDDT-BS_13,lDDT-BS_14,lDDT-BS_15,lDDT-BS_16,lDDT-BS_17,lDDT-BS_18,lDDT-BS_19,lDDT-BS_20,lDDT-BS_21,lDDT-BS_22,lDDT-BS_23,lDDT-BS_24,lDDT-BS_25,lDDT-BS_26,lDDT-BS_27,lDDT-BS_28,lDDT-BS_29,lDDT-BS_30,lDDT-BS_31,lig_rmsd_0,lig_rmsd_1,lig_rmsd_2,lig_rmsd_3,lig_rmsd_4,lig_rmsd_5,lig_rmsd_6,lig_rmsd_7,lig_rmsd_8,lig_rmsd_9,lig_rmsd_10,lig_rmsd_11,lig_rmsd_12,lig_rmsd_13,lig_rmsd_14,lig_rmsd_15,lig_rmsd_16,lig_rmsd_17,lig_rmsd_18,lig_rmsd_19,lig_rmsd_20,lig_rmsd_21,lig_rmsd_22,lig_rmsd_23,lig_rmsd_24,lig_rmsd_25,lig_rmsd_26,lig_rmsd_27,lig_rmsd_28,lig_rmsd_29,lig_rmsd_30,lig_rmsd_31,clash_0,clash_1,clash_2,clash_3,clash_4,clash_5,clash_6,clash_7,clash_8,clash_9,clash_10,clash_11,clash_12,clash_13,clash_14,clash_15,clash_16,clash_17,clash_18,clash_19,clash_20,clash_21,clash_22,clash_23,clash_24,clash_25,clash_26,clash_27,clash_28,clash_29,clash_30,clash_31
10,6TE6A,0.6215841159934089,0.6494471466257459,0.7066665823970523,0.6451334648189091,0.6579351652236212,0.6851399143536886,0.6809930396931512,0.6833296659446898,0.6766540464900789,0.6860287281728926,0.6764562655062902,0.6738911072413126,0.6754364640939803,0.7080331820817221,0.6766838530699412,0.6531293810833068,0.700141837199529,0.6740526805321375,0.695702253353028,0.6433257183858326,0.670310207775661,0.6868775224401837,0.6570206994102115,0.693984812214261,0.6935841675315585,0.6928671208165941,0.6654896303301766,0.6933666261888686,0.6828712891964686,0.6604104694865999,0.6798821545782543,0.6947667215551648,8.67954,6.10998,8.74803,4.00973,8.10159,7.10334,9.01742,6.41885,4.80436,6.03626,5.86303,8.01404,10.9549,8.64979,8.51063,6.45812,8.93168,6.57287,10.9763,6.03555,7.03033,13.5647,8.37719,7.86239,7.29107,11.154,5.65279,8.21521,8.97984,7.53166,7.96664,7.2216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6G2OA,0.8082666297753652,0.8252058376868566,0.8546059280633926,0.8120147238175074,0.7616517792145411,0.8457334538300832,0.749599869052569,0.8457509428262711,0.8426756262779236,0.8478373289108276,0.7018280128637949,0.8517457743485769,0.8134695142507553,0.8515691111485163,0.781723772486051,0.8330781708161036,0.7629967282215754,0.8601369460423788,0.8126300523678461,0.8365800827741623,0.8391899764537811,0.8405613650878271,0.7764789263407389,0.8410969426234564,0.6785803188880285,0.748578722278277,0.828765427072843,0.7473676204681396,0.8009270677963892,0.7340154697497686,0.8431734144687653,0.8582137475411097,5.23335,10.2543,5.67522,4.94777,7.8142,6.92938,7.22464,8.58315,7.82871,8.45016,6.22345,4.92068,3.79629,8.06367,5.97525,4.29924,5.56989,4.86537,5.79344,2.57492,4.88213,8.38848,4.95553,7.09409,5.92245,5.81489,8.18937,5.39086,3.43497,7.07778,8.28671,4.51167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6JSFA,0.8026123499428784,0.8518817159864638,0.8738848390402617,0.8170851038561927,0.8463597385971634,0.826751587567506,0.8701513012250265,0.8055934442414178,0.8742727195775067,0.8515862822532654,0.8589515597731979,0.8578354937058909,0.876964858284703,0.8596392340130277,0.8619548832928693,0.8863541815016005,0.8755538485668324,0.8709737150757401,0.8425425754653083,0.8539361335613109,0.835289149372666,0.8799300922287835,0.8384174991537023,0.8656980042104367,0.8803351389037238,0.8731360987380699,0.8339793174355118,0.8812482246646175,0.8740673859914144,0.8413011497921414,0.8374525794276485,0.8741284697144119,12.3488,8.21356,7.36973,8.70816,6.77542,8.39481,6.98797,10.055,7.02765,7.18908,6.87824,6.38758,7.84247,7.76321,8.59448,7.06051,6.99681,7.34794,11.0785,7.70436,8.68601,9.81268,8.48562,10.5778,6.58436,8.45342,7.52449,6.5482,8.86083,9.18516,14.0387,7.94753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5ZXKA,0.8699588537216186,0.7696555912494659,0.750811618566513,0.8606153190135956,0.8966092765331268,0.8576136589050293,0.8420907437801362,0.8622494697570801,0.8557929158210754,0.8642257213592529,0.769350665807724,0.8354067027568817,0.8615670084953309,0.8666555225849152,0.8073999464511872,0.8411250591278077,0.8440612912178039,0.8591123759746552,0.8706485211849213,0.8589713931083679,0.8702037870883942,0.8296502888202667,0.8612706124782562,0.7471351027488708,0.8653150975704194,0.8601356208324432,0.8845029652118683,0.803375881910324,0.8429810643196106,0.8455212235450744,0.8438409566879272,0.8575071811676025,6.73307,4.28184,5.07901,4.3851,9.24181,3.80521,5.56877,4.96247,4.9223,7.18823,7.44545,3.32024,5.45865,5.34919,5.99284,7.22498,5.71458,6.57839,6.5312,5.19474,6.12496,3.98977,4.80259,3.4963,5.18326,7.14828,4.46538,3.37999,4.04757,7.3368,6.25691,5.08098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6JT3A,0.8903866012891134,0.8830855857758295,0.8820619753428868,0.8767921612376258,0.9071945264225915,0.8809876782553536,0.8639032074383327,0.8901742299397787,0.8824745274725414,0.8918148506255377,0.8905586288088844,0.8922926159132094,0.8838079401424953,0.8931789994239807,0.8871586862064543,0.8925916155179342,0.8623757163683573,0.8884574288413638,0.8832132106735593,0.8901715732756115,0.8676176071166992,0.877908814521063,0.8675478554907299,0.8809001701218742,0.8897072701227098,0.8942875322841463,0.8999929428100586,0.8903589844703674,0.8705463835171291,0.8899015386899313,0.8685805116380964,0.884647874605088,5.82095,8.56684,8.4702,5.37988,4.22069,5.23554,5.1861,4.35451,6.80611,4.52013,8.17094,3.70603,4.74936,5.92159,4.90258,6.18843,6.97054,9.73301,2.1693,10.1258,8.96553,5.85546,6.4106,5.3289,7.50915,9.11976,8.22331,6.9174,5.45947,6.6134,7.55793,9.18449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6QTRA,0.8703761311868826,0.8416990973055363,0.8537074960768223,0.8624360909064611,0.8616150046388308,0.876500112315019,0.8662924555440744,0.8721609475711981,0.8255993140240511,0.7128453801075617,0.8703020264705023,0.8890126186112562,0.8252222575247288,0.8081930130720139,0.8838217072188854,0.8877714201807976,0.8658929554124674,0.8497963560124239,0.8846195315321287,0.8868542065223058,0.875581710288922,0.844000730663538,0.7845266275107861,0.8503237155576547,0.8722723921140035,0.782026136914889,0.8570192332069079,0.8691784391800562,0.8682225234806538,0.8878711834549904,0.8468311354517937,0.8653233150641123,8.57604,5.96033,11.7153,8.77336,8.39556,9.89112,9.80704,13.1509,10.6021,12.4614,8.13538,11.4861,10.1927,15.5074,14.0963,13.3821,10.159,5.51209,17.1831,16.341,12.1312,8.93273,11.739,6.96927,10.513,11.5852,10.8528,14.6844,11.9254,10.5644,10.3739,7.60503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6QZHA,0.6488403190266002,0.5725658332759683,0.6413756893439726,0.627169516953555,0.6565528335896406,0.638482158834284,0.6602110131220384,0.6535936052148993,0.5748613530939276,0.6267337880351327,0.6441735056313601,0.6271007589318536,0.6566016118634831,0.5653752576221119,0.6490251245823774,0.6286973763595928,0.6338376524773511,0.6598921540108594,0.6482863317836415,0.6573764424432408,0.6412285376678813,0.5693676525896246,0.6554575833407316,0.6446074586022984,0.652067868547006,0.6461906582117081,0.6410546478900042,0.5958518074317412,0.6340706632895903,0.6466110985387455,0.6571266055107117,0.6441478458317843,6.41697,8.96091,11.9403,5.56497,8.51133,6.70154,9.04221,7.99582,7.09307,7.3062,4.98435,7.85753,6.40981,5.66297,8.72179,7.8751,9.49771,9.57356,7.25694,7.82569,7.33113,11.2782,8.61316,10.2841,7.39377,6.03247,7.38817,9.34175,7.34048,7.64409,8.82651,5.33971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6QMTA,0.8014806012312571,0.8183885784376235,0.8075627230462574,0.8182332870506105,0.8126741590954009,0.8210791576476324,0.7627013410840716,0.8092739042781648,0.8137421877611251,0.8009048359734672,0.821050824153991,0.8092667616548992,0.8154096731117794,0.8177539677846999,0.8188123816535586,0.8146497976212275,0.820244550704956,0.8199151711804527,0.8114225268363953,0.8076383130890983,0.8162858003661746,0.8167789635204133,0.8137245561395373,0.817343682050705,0.7967236283279601,0.8149552444616953,0.8109682415212903,0.7771514327753157,0.8165202140808105,0.8149530518622625,0.8155417428130195,0.812943635951905,6.13073,3.80042,4.65356,7.56859,3.81135,5.92126,6.31455,6.04124,6.62527,5.31077,6.28086,6.01571,3.82305,5.09356,6.34864,4.62672,6.40373,7.59323,3.62444,8.11843,7.39708,8.25881,4.71257,5.70914,5.45356,6.21539,6.71025,7.2225,4.9566,5.60534,11.0536,5.93503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6IBXA,0.828105709769509,0.8476647734642029,0.7809034016999331,0.8118839480660178,0.8207136582244526,0.8042872900312598,0.8547047186981548,0.8116011375730688,0.7956179055300626,0.8198698840358041,0.8157181143760681,0.8176817677237771,0.8438079302961176,0.8026179698380557,0.8311500657688488,0.8331848193298687,0.8055820167064667,0.8358281661163677,0.7753266800533641,0.7951484458013014,0.7819114029407501,0.8270592824979262,0.837239230220968,0.8201541412960399,0.8048722066662528,0.8326988220214844,0.8243886205283079,0.7848129028623755,0.8449303399432789,0.8316182304512371,0.8108284581791271,0.8278296481479298,5.1831,10.8722,9.09953,3.29245,8.9766,10.381,14.7831,8.23396,7.01288,9.52496,6.06912,9.5028,4.73539,4.06276,8.87303,11.3592,3.9668,8.14601,6.01923,9.12228,10.782,5.59917,11.3639,9.0691,7.28112,15.6309,11.3092,3.65584,9.76728,9.40022,7.28111,10.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6CJSA,0.8148314446210861,0.8077626496553421,0.8103533998131752,0.8174040779471398,0.8129514276981353,0.8132576689124107,0.8064125642180443,0.803949311375618,0.8147980540990829,0.813396529853344,0.8206156507134438,0.8179033502936364,0.8167467534542083,0.8110630691051484,0.8072506487369537,0.8134029701352119,0.8110976994037629,0.8125110328197479,0.8111077278852463,0.8196806773543358,0.8187011495232582,0.8157312005758286,0.8121687799692154,0.8141060218214988,0.8147707745432854,0.8100744396448135,0.8295949220657348,0.8151644006371498,0.8051510795950889,0.8147205457091331,0.8007361516356468,0.8199375763535499,13.0651,8.49927,8.90707,13.431,11.5,9.79517,10.3073,6.69075,8.08413,8.41881,11.9592,12.1202,10.6145,8.7501,8.4459,6.51192,8.59117,7.32226,9.78691,9.48551,11.939,8.54867,13.8451,10.0488,9.89407,10.2863,10.4958,12.1352,13.8254,12.1916,5.92862,11.5069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6N9LA,0.9049624465405941,0.865691252052784,0.917960662394762,0.8760771304368973,0.9056424163281918,0.8471753969788551,0.9030996859073639,0.9002487771213055,0.9026620015501976,0.9042940512299538,0.9088751152157784,0.9046191424131393,0.9257335290312767,0.9105272106826305,0.9008843339979649,0.8999356999993324,0.900326382368803,0.9211854822933674,0.9180232137441635,0.8920907415449619,0.8947960399091244,0.9020968303084373,0.9081847593188286,0.8948558978736401,0.888591855764389,0.8991664946079254,0.903782743960619,0.8986641205847263,0.9013018980622292,0.9207663051784039,0.9060744270682335,0.9096233621239662,7.32411,5.72993,9.04226,7.79051,6.70855,5.05132,5.03329,7.44783,5.503,6.47914,4.06352,5.86592,7.13738,6.15545,8.80904,8.43235,7.07757,9.42494,9.88107,4.89324,7.97212,5.00767,11.4459,3.67174,4.53336,4.16407,7.77172,6.05794,3.72775,7.22874,4.40695,8.12541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6IBZA,0.8282451738010753,0.8377098820426248,0.8423687463456934,0.8371894413774664,0.8450077311559157,0.8587022477930243,0.8582226146351207,0.8059624975377863,0.8256279907443307,0.831752443855459,0.8327589143406261,0.8052641221068122,0.8440600254318931,0.8035838035019961,0.8545761704444885,0.8039327318018133,0.861688418821855,0.8679652674631639,0.8558300381357019,0.8529744906858965,0.846596056764776,0.7911243763836947,0.8208798603578047,0.8577204698866064,0.825369190086018,0.8533995747566223,0.8443810479207472,0.8214444111693989,0.8234986771236766,0.8519679795611989,0.8366207832639868,0.8338345912369814,3.38252,8.02731,12.178,2.91602,6.00988,6.73121,4.49833,10.4394,7.92316,6.98601,10.5126,8.54452,6.2905,5.97887,9.49229,5.47197,6.79103,9.2575,5.06959,8.79198,10.8897,6.57824,9.47586,7.92774,4.55111,9.28993,8.77659,5.4603,8.13207,8.9881,4.82898,6.11301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6OTTA,0.8423422276973724,0.8489076693852743,0.8068106869856516,0.7508865495522817,0.8595214287439982,0.8237414062023163,0.8517042299111685,0.8340585827827454,0.8327575425306956,0.8348969022432963,0.848511129617691,0.8429429431756338,0.836614857117335,0.8523118197917938,0.7690803607304891,0.8216759661833445,0.8346242805322012,0.8414773543675741,0.8554005920886993,0.8444183071454366,0.8273569444815317,0.8342758218447367,0.7804870704809824,0.83346559604009,0.8458272715409597,0.8384358684221903,0.8396928906440735,0.8319592376550039,0.8307804067929586,0.8549923797448477,0.8339923024177551,0.8265044987201691,7.61109,6.75852,7.38651,3.68889,7.39944,5.21272,9.18778,6.17981,6.5791,10.6891,10.5881,5.50702,7.87519,8.29535,4.64648,8.54696,7.19858,7.26069,7.92759,7.37707,5.96541,12.6659,8.34798,6.97451,7.50806,6.02166,9.41566,8.84206,6.4986,6.97703,7.59281,4.9526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6E3PA,0.8489436954259872,0.8584448009729385,0.8333228915929795,0.854347625374794,0.8385857611894607,0.823357692360878,0.8516503125429153,0.8488447070121765,0.8447402775287628,0.8641911685466767,0.8551975548267364,0.8436839908361435,0.8296515703201294,0.8018306523561478,0.8611769169569016,0.8402514159679413,0.8376498311758042,0.8392761170864105,0.8272594809532166,0.8321993291378021,0.8329155325889588,0.8602611571550369,0.8445275306701661,0.8431897580623626,0.8452280610799789,0.8583028882741928,0.8519466608762741,0.8290673613548278,0.844160595536232,0.8394908875226974,0.8387264788150788,0.850471630692482,4.42344,5.76511,8.65808,7.93469,4.31974,8.08865,6.28958,9.97862,4.55009,8.34598,4.20483,5.41604,8.20752,7.58499,6.36147,8.07955,6.11626,5.60212,4.82356,6.31294,4.05257,7.36068,7.11132,6.72939,4.61964,7.66901,5.43098,7.68983,4.08198,7.62362,9.99732,6.75952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
